V,I (365 nm),I (405 nm),I (436 nm),I (486 nm),I (546 nm),I (577 nm),I (589 nm),I (656 nm)
-2.69,-1.49558E-10,-1.85509E-10,-2.3264E-10,-1.2432E-11,-1.50981E-10,-7.0846E-11,-2.9357E-11,-6.82631E-13
-2.68,-1.49675E-10,-1.85199E-10,-2.31903E-10,-1.21289E-11,-1.50762E-10,-7.09898E-11,-2.76054E-11,-6.87135E-13
-2.67,-1.49388E-10,-1.8634E-10,-2.3178E-10,-1.21897E-11,-1.49887E-10,-7.1068E-11,-2.99459E-11,-9.56489E-13
-2.66,-1.49415E-10,-1.85411E-10,-2.32358E-10,-1.23204E-11,-1.49726E-10,-7.07815E-11,-2.94489E-11,-1.14868E-12
-2.65,-1.50038E-10,-1.87923E-10,-2.33819E-10,-1.25566E-11,-1.49662E-10,-7.0867E-11,-3.2596E-11,-6.51521E-13
-2.64,-1.50026E-10,-1.86674E-10,-2.32943E-10,-1.23376E-11,-1.49933E-10,-7.07352E-11,-3.02191E-11,-4.16143E-13
-2.63,-1.50181E-10,-1.85182E-10,-2.33032E-10,-1.20413E-11,-1.49658E-10,-7.07876E-11,-3.00435E-11,-9.09209E-13
-2.62,-1.48795E-10,-1.86059E-10,-2.32741E-10,-1.20973E-11,-1.49953E-10,-7.10676E-11,-2.73428E-11,-6.70556E-13
-2.61,-1.48157E-10,-1.85655E-10,-2.32851E-10,-1.21837E-11,-1.50129E-10,-7.12442E-11,-3.0011E-11,-6.72193E-13
-2.6,-1.47857E-10,-1.86263E-10,-2.32446E-10,-1.24021E-11,-1.50109E-10,-7.09436E-11,-3.01911E-11,-7.42192E-13
-2.59,-1.47791E-10,-1.85831E-10,-2.32125E-10,-1.22277E-11,-1.50213E-10,-7.05086E-11,-3.27854E-11,-5.0354E-13
-2.58,-1.48073E-10,-1.8468E-10,-2.32813E-10,-1.20996E-11,-1.50159E-10,-7.04849E-11,-3.07719E-11,-5.45089E-13
-2.57,-1.47893E-10,-1.85138E-10,-2.32942E-10,-1.19821E-11,-1.49762E-10,-7.05113E-11,-3.00357E-11,-6.49474E-13
-2.56,-1.47878E-10,-1.85104E-10,-2.33167E-10,-1.18141E-11,-1.49046E-10,-7.08017E-11,-3.54838E-11,-6.64006E-13
-2.55,-1.4682E-10,-1.84131E-10,-2.33242E-10,-1.22877E-11,-1.49207E-10,-7.05756E-11,-4.23513E-11,-7.7883E-13
-2.54,-1.46844E-10,-1.85017E-10,-2.316E-10,-1.20928E-11,-1.49476E-10,-6.98827E-11,-3.28545E-11,-6.88772E-13
-2.53,-1.46977E-10,-1.85595E-10,-2.31014E-10,-1.20185E-11,-1.49893E-10,-6.99599E-11,-3.35953E-11,-6.53363E-13
-2.52,-1.46825E-10,-1.84553E-10,-2.31059E-10,-1.19084E-11,-1.4989E-10,-6.99517E-11,-3.32733E-11,-9.43799E-13
-2.51,-1.46526E-10,-1.85908E-10,-2.3252E-10,-1.19142E-11,-1.49769E-10,-6.98512E-11,-3.00314E-11,-6.18772E-13
-2.5,-1.46579E-10,-1.84923E-10,-2.32505E-10,-1.21917E-11,-1.49541E-10,-6.957E-11,-2.96127E-11,-4.60148E-13
-2.49,-1.47001E-10,-1.83762E-10,-2.32944E-10,-1.20636E-11,-1.49235E-10,-6.95078E-11,-2.99317E-11,-4.12459E-13
-2.48,-1.45916E-10,-1.8423E-10,-2.32098E-10,-1.20583E-11,-1.49701E-10,-6.94678E-11,-2.85236E-11,1.89795E-14
-2.47,-1.45357E-10,-1.83684E-10,-2.31516E-10,-1.19002E-11,-1.49923E-10,-6.95391E-11,-2.75882E-11,-4.34288E-14
-2.46,-1.4509E-10,-1.83439E-10,-2.31341E-10,-1.18736E-11,-1.49691E-10,-6.99046E-11,-3.26058E-11,-8.20379E-13
-2.45,-1.45007E-10,-1.85014E-10,-2.31813E-10,-1.22044E-11,-1.49535E-10,-6.98092E-11,-3.26673E-11,-4.91668E-13
-2.44,-1.44824E-10,-1.84907E-10,-2.32072E-10,-1.20032E-11,-1.48994E-10,-6.98389E-11,-3.34078E-11,-5.89299E-13
-2.43,-1.40202E-10,-1.85383E-10,-2.31267E-10,-1.18278E-11,-1.49112E-10,-6.96138E-11,-3.31458E-11,-8.13215E-13
-2.42,-1.41332E-10,-1.84633E-10,-2.30466E-10,-1.17594E-11,-1.48766E-10,-6.96651E-11,-3.03759E-11,7.42263E-14
-2.41,-1.43027E-10,-1.84321E-10,-2.29625E-10,-1.1795E-11,-1.48465E-10,-6.96795E-11,-2.65693E-11,-6.53568E-13
-2.4,-1.42819E-10,-1.8475E-10,-2.29599E-10,-1.21123E-11,-1.48473E-10,-6.96336E-11,-3.04848E-11,-1.1495E-12
-2.39,-1.45927E-10,-1.84488E-10,-2.30019E-10,-1.20296E-11,-1.49223E-10,-6.96692E-11,-3.26159E-11,-1.42827E-12
-2.38,-1.40988E-10,-1.84884E-10,-2.30579E-10,-1.19426E-11,-1.49093E-10,-6.97628E-11,-3.15438E-11,-9.1146E-13
-2.37,-1.42094E-10,-1.83353E-10,-2.30464E-10,-1.18302E-11,-1.48564E-10,-6.94975E-11,-2.97293E-11,6.52474E-13
-2.36,-1.42136E-10,-1.83432E-10,-2.29898E-10,-1.1949E-11,-1.47672E-10,-6.94676E-11,-2.96288E-11,-5.0313E-13
-2.35,-1.3755E-10,-1.83214E-10,-2.30068E-10,-1.20928E-11,-1.48219E-10,-6.94138E-11,-2.96902E-11,-7.08012E-13
-2.34,-1.39992E-10,-1.83012E-10,-2.30589E-10,-1.21528E-11,-1.48469E-10,-6.92347E-11,-2.67629E-11,-9.9374E-13
-2.33,-1.38801E-10,-1.82847E-10,-2.29821E-10,-1.18802E-11,-1.48837E-10,-6.93659E-11,-2.98914E-11,-1.43748E-12
-2.32,-1.39545E-10,-1.83168E-10,-2.28835E-10,-1.16145E-11,-1.48758E-10,-6.95356E-11,-3.16015E-11,-1.31365E-12
-2.31,-1.38656E-10,-1.83938E-10,-2.28972E-10,-1.183E-11,-1.48518E-10,-6.95036E-11,-3.29249E-11,-3.51874E-13
-2.3,-1.39332E-10,-1.84393E-10,-2.29215E-10,-1.1942E-11,-1.47741E-10,-6.92912E-11,-2.9793E-11,-9.9067E-13
-2.29,-1.37172E-10,-1.83877E-10,-2.30566E-10,-1.19203E-11,-1.47586E-10,-6.84829E-11,-2.73565E-11,-4.48277E-13
-2.28,-1.38764E-10,-1.81382E-10,-2.30986E-10,-1.18051E-11,-1.47903E-10,-6.93143E-11,-2.58345E-11,-5.52867E-13
-2.27,-1.38491E-10,-1.88262E-10,-2.30366E-10,-1.16505E-11,-1.47331E-10,-6.9281E-11,-2.57825E-11,-5.52048E-13
-2.26,-1.3429E-10,-1.83061E-10,-2.30031E-10,-1.17752E-11,-1.47042E-10,-6.92671E-11,-2.92526E-11,-4.83686E-13
-2.25,-1.36373E-10,-1.80507E-10,-2.30264E-10,-1.18032E-11,-1.47393E-10,-6.82721E-11,-3.20739E-11,-4.82048E-13
-2.24,-1.35263E-10,-1.78529E-10,-2.30622E-10,-1.19837E-11,-1.47237E-10,-6.95399E-11,-4.12944E-11,-4.83277E-13
-2.23,-1.34812E-10,-1.82442E-10,-2.30557E-10,-1.19457E-11,-1.4744E-10,-6.9334E-11,-2.96945E-11,-5.57984E-13
-2.22,-1.34565E-10,-1.81775E-10,-2.30144E-10,-1.17406E-11,-1.47413E-10,-7.05111E-11,-2.92352E-11,-5.07429E-13
