V,I(365),I(405),I(436),I(486),I(546),I(577),I(589),I(656),656 Chop
-3.44,-1.62416E-10,-1.98456E-10,-2.58254E-10,-1.45238E-11,-1.6745E-10,-7.25864E-11,-3.32325E-11,-1.08215E-12,-1.08215E-12
-3.43,-1.61446E-10,-1.98247E-10,-2.56616E-10,-1.41638E-11,-1.66985E-10,-7.27311E-11,-3.34572E-11,-1.26943E-12,-1.26943E-12
-3.42,-1.61245E-10,-1.97265E-10,-2.561E-10,-1.38251E-11,-1.67052E-10,-7.31153E-11,-3.30434E-11,-1.51156E-12,-1.51156E-12
-3.41,-1.6204E-10,-1.96918E-10,-2.54341E-10,-1.39646E-11,-1.66995E-10,-7.36004E-11,-3.2772E-11,-1.46612E-12,-1.46612E-12
-3.4,-1.62913E-10,-1.96609E-10,-2.55041E-10,-1.45644E-11,-1.67717E-10,-7.29069E-11,-3.28451E-11,-1.4606E-12,-1.4606E-12
-3.39,-1.63376E-10,-1.97573E-10,-2.54742E-10,-1.41771E-11,-1.67566E-10,-7.2996E-11,-3.29536E-11,-1.29522E-12,-1.29522E-12
-3.38,-1.61639E-10,-1.96929E-10,-2.53513E-10,-1.39573E-11,-1.6753E-10,-7.25995E-11,-3.34247E-11,-9.75925E-13,-9.75925E-13
-3.37,-1.6232E-10,-1.96747E-10,-2.55422E-10,-1.38453E-11,-1.67219E-10,-7.30175E-11,-3.32943E-11,-1.09239E-12,-1.09239E-12
-3.36,-1.62915E-10,-1.97538E-10,-2.56265E-10,-1.41773E-11,-1.66886E-10,-7.29835E-11,-3.29075E-11,-1.47799E-12,-1.47799E-12
-3.35,-1.62206E-10,-1.98222E-10,-2.55536E-10,-1.47187E-11,-1.66791E-10,-7.2925E-11,-3.25329E-11,-1.30607E-12,-1.30607E-12
-3.34,-1.6055E-10,-1.98089E-10,-2.54853E-10,-1.42125E-11,-1.66896E-10,-7.28326E-11,-3.28113E-11,-1.21642E-12,-1.21642E-12
-3.33,-1.60115E-10,-1.97631E-10,-2.5555E-10,-1.39823E-11,-1.66874E-10,-7.25422E-11,-3.31687E-11,-1.35601E-12,-1.35601E-12
-3.32,-1.61627E-10,-1.95283E-10,-2.5636E-10,-1.38109E-11,-1.66894E-10,-7.2532E-11,-3.31502E-11,-1.22972E-12,-1.22972E-12
-3.31,-1.60961E-10,-1.95962E-10,-2.5421E-10,-1.41724E-11,-1.66658E-10,-7.25205E-11,-3.28271E-11,-1.34188E-12,-1.34188E-12
-3.3,-1.60774E-10,-1.97127E-10,-2.53241E-10,-1.46767E-11,-1.6593E-10,-7.24352E-11,-3.2525E-11,-1.35744E-12,-1.35744E-12
-3.29,-1.60206E-10,-1.96492E-10,-2.5333E-10,-1.41462E-11,-1.65753E-10,-7.23785E-11,-3.25675E-11,-1.30422E-12,-1.30422E-12
-3.28,-1.60715E-10,-1.95939E-10,-2.5583E-10,-1.3956E-11,-1.65547E-10,-7.24996E-11,-3.27874E-11,-1.23566E-12,-1.23566E-12
-3.27,-1.62198E-10,-1.95884E-10,-2.5577E-10,-1.35796E-11,-1.65748E-10,-7.2629E-11,-3.30145E-11,-1.17016E-12,-1.17016E-12
-3.26,-1.61675E-10,-1.96187E-10,-2.55045E-10,-1.37796E-11,-1.65802E-10,-7.26352E-11,-3.27847E-11,-1.18203E-12,-1.18203E-12
-3.25,-1.59633E-10,-1.95331E-10,-2.54127E-10,-1.4663E-11,-1.66484E-10,-7.25723E-11,-3.28144E-11,-1.42826E-12,-1.42826E-12
-3.24,-1.61739E-10,-1.94733E-10,-2.54116E-10,-1.41685E-11,-1.66499E-10,-7.25674E-11,-3.28576E-11,-1.22461E-12,-1.22461E-12
-3.23,-1.62427E-10,-1.94292E-10,-2.54618E-10,-1.38613E-11,-1.66455E-10,-7.25426E-11,-3.2634E-11,-1.20189E-12,-1.20189E-12
-3.22,-1.61129E-10,-1.93858E-10,-2.5205E-10,-1.36015E-11,-1.66513E-10,-7.24417E-11,-3.28744E-11,-1.11572E-12,-1.11572E-12
-3.21,-1.60047E-10,-1.94112E-10,-2.51446E-10,-1.37538E-11,-1.6601E-10,-7.22158E-11,-3.27112E-11,-1.06844E-12,-1.06844E-12
-3.2,-1.60197E-10,-1.93609E-10,-2.52281E-10,-1.4398E-11,-1.659E-10,-7.20964E-11,-3.27354E-11,-1.41679E-12,-1.41679E-12
-3.19,-1.61871E-10,-1.93595E-10,-2.54498E-10,-1.39172E-11,-1.65779E-10,-7.22053E-11,-3.27906E-11,-1.15502E-12,-1.15502E-12
-3.18,-1.62271E-10,-1.9455E-10,-2.55118E-10,-1.35608E-11,-1.66119E-10,-7.2474E-11,-3.27462E-11,-1.02505E-12,-1.02505E-12
-3.17,-1.57943E-10,-1.95262E-10,-2.55019E-10,-1.34433E-11,-1.66352E-10,-7.26298E-11,-3.2476E-11,-1.07274E-12,-1.07274E-12
-3.16,-1.57243E-10,-1.95561E-10,-2.52922E-10,-1.37776E-11,-1.66339E-10,-7.26861E-11,-3.23848E-11,-1.24425E-12,-1.24425E-12
-3.15,-1.59359E-10,-1.94354E-10,-2.54101E-10,-1.44086E-11,-1.65422E-10,-7.25348E-11,-3.24376E-11,-1.34004E-12,-1.34004E-12
-3.14,-1.58127E-10,-1.93836E-10,-2.51446E-10,-1.40862E-11,-1.65376E-10,-7.2116E-11,-3.25677E-11,-1.32899E-12,-1.32899E-12
-3.13,-1.61025E-10,-1.94492E-10,-2.54542E-10,-1.37082E-11,-1.66135E-10,-7.15055E-11,-3.27526E-11,-1.2463E-12,-1.2463E-12
-3.12,-1.58608E-10,-1.955E-10,-2.53112E-10,-1.3506E-11,-1.66516E-10,-7.18379E-11,-3.27065E-11,-1.02894E-12,-1.02894E-12
-3.11,-1.58709E-10,-1.94793E-10,-2.52889E-10,-1.37217E-11,-1.66447E-10,-7.20553E-11,-3.26058E-11,-1.00642E-12,-1.00642E-12
-3.1,-1.60431E-10,-1.94282E-10,-2.53166E-10,-1.45273E-11,-1.66134E-10,-7.19814E-11,-3.24973E-11,-1.23382E-12,-1.23382E-12
-3.09,-1.61131E-10,-1.92903E-10,-2.53033E-10,-1.39104E-11,-1.65859E-10,-7.15571E-11,-3.22141E-11,-1.28171E-12,-1.28171E-12
-3.08,-1.61169E-10,-1.93348E-10,-2.53505E-10,-1.356E-11,-1.65467E-10,-7.13577E-11,-3.23954E-11,-1.10364E-12,-1.10364E-12
-3.07,-1.5987E-10,-1.93743E-10,-2.5465E-10,-1.33392E-11,-1.65277E-10,-7.13485E-11,-3.23989E-11,-1.0404E-12,-1.0404E-12
-3.06,-1.60519E-10,-1.94939E-10,-2.555E-10,-1.37555E-11,-1.6475E-10,-7.14589E-11,-3.2491E-11,-1.14908E-12,-1.14908E-12
-3.05,-1.60566E-10,-1.94339E-10,-2.5603E-10,-1.43652E-11,-1.64419E-10,-7.16033E-11,-3.23477E-11,-1.16238E-12,-1.16238E-12
-3.04,-1.60882E-10,-1.94043E-10,-2.53551E-10,-1.38079E-11,-1.64854E-10,-7.14855E-11,-3.23379E-11,-1.33411E-12,-1.33411E-12
-3.03,-1.58907E-10,-1.94377E-10,-2.52831E-10,-1.37039E-11,-1.65075E-10,-7.12935E-11,-3.21154E-11,-1.01297E-12,-1.01297E-12
-3.02,-1.583E-10,-1.94902E-10,-2.53131E-10,-1.35129E-11,-1.65696E-10,-7.14044E-11,-3.21877E-11,-9.89843E-13,-9.89843E-13
-3.01,-1.58652E-10,-1.93659E-10,-2.53385E-10,-1.38134E-11,-1.65078E-10,-7.11314E-11,-3.22937E-11,-1.08645E-12,-1.08645E-12
-3,-1.59401E-10,-1.92645E-10,-2.53758E-10,-1.43009E-11,-1.64936E-10,-7.10546E-11,-3.22838E-11,-1.19002E-12,-1.19002E-12
-2.99,-1.59773E-10,-1.9247E-10,-2.52112E-10,-1.38719E-11,-1.64799E-10,-7.11248E-11,-3.22106E-11,-1.20639E-12,-1.20639E-12
-2.98,-1.59166E-10,-1.92342E-10,-2.51246E-10,-1.35119E-11,-1.64694E-10,-7.0941E-11,-3.22419E-11,-1.0056E-12,-1.0056E-12
-2.97,-1.58106E-10,-1.93101E-10,-2.53058E-10,-1.33158E-11,-1.65015E-10,-7.10155E-11,-3.2324E-11,-8.16483E-13,-8.16483E-13
-2.96,-1.58726E-10,-1.92848E-10,-2.54845E-10,-1.37158E-11,-1.64039E-10,-7.12345E-11,-3.2054E-11,-9.77972E-13,-9.77972E-13
-2.95,-1.59645E-10,-1.9282E-10,-2.54035E-10,-1.43013E-11,-1.63576E-10,-7.14851E-11,-3.20084E-11,-1.09136E-12,-1.09136E-12
-2.94,-1.59683E-10,-1.92722E-10,-2.53417E-10,-1.3708E-11,-1.63711E-10,-7.09065E-11,-3.19791E-11,-1.1544E-12,-1.1544E-12
-2.93,-1.59609E-10,-1.93697E-10,-2.51642E-10,-1.34353E-11,-1.64312E-10,-7.07308E-11,-3.18675E-11,-9.51978E-13,-9.51978E-13
-2.92,-1.59427E-10,-1.93354E-10,-2.52444E-10,-1.34069E-11,-1.64902E-10,-7.06164E-11,-3.18772E-11,-9.51773E-13,-9.51773E-13
-2.91,-1.59436E-10,-1.91686E-10,-2.54336E-10,-1.37387E-11,-1.64978E-10,-7.07243E-11,-3.20677E-11,-7.48327E-13,-7.48327E-13
-2.9,-1.58708E-10,-1.91569E-10,-2.53473E-10,-1.40385E-11,-1.64315E-10,-7.11514E-11,-3.21471E-11,-3.73976E-13,-3.73976E-13
-2.89,-1.58121E-10,-1.91772E-10,-2.51418E-10,-1.38594E-11,-1.63778E-10,-7.07073E-11,-3.19727E-11,-7.63677E-13,-7.63677E-13
-2.88,-1.57962E-10,-1.93272E-10,-2.52174E-10,-1.32366E-11,-1.64002E-10,-7.0739E-11,-3.21316E-11,-2.70616E-13,-2.70616E-13
-2.87,-1.58484E-10,-1.93454E-10,-2.51375E-10,-1.36028E-11,-1.64528E-10,-7.06033E-11,-3.21795E-11,-9.48703E-13,-9.48703E-13
-2.86,-1.58453E-10,-1.92809E-10,-2.52235E-10,-1.39041E-11,-1.64169E-10,-7.07521E-11,-3.22832E-11,-8.45956E-13,-8.45956E-13
-2.85,-1.58912E-10,-1.92212E-10,-2.51175E-10,-1.39694E-11,-1.63678E-10,-7.1213E-11,-3.22507E-11,-9.98644E-13,-9.98644E-13
-2.84,-1.5846E-10,-1.92666E-10,-2.50007E-10,-1.37033E-11,-1.63378E-10,-7.06825E-11,-3.19648E-11,-9.76539E-13,-9.76539E-13
-2.83,-1.57504E-10,-1.9359E-10,-2.50857E-10,-1.32196E-11,-1.63697E-10,-7.039E-11,-3.18772E-11,-8.38793E-13,-8.38793E-13
-2.82,-1.56528E-10,-1.92596E-10,-2.51862E-10,-1.36069E-11,-1.63727E-10,-7.02253E-11,-3.18671E-11,-1.0144E-12,-1.0144E-12
-2.81,-1.56231E-10,-1.91338E-10,-2.53589E-10,-1.38928E-11,-1.64398E-10,-7.07271E-11,-3.18782E-11,-1.37136E-12,-1.37136E-12
-2.8,-1.56313E-10,-1.91854E-10,-2.52835E-10,-1.4017E-11,-1.64043E-10,-7.13235E-11,-3.2064E-11,-9.96392E-13,-9.96392E-13
-2.79,-1.57221E-10,-1.93463E-10,-2.51242E-10,-1.35236E-11,-1.6346E-10,-7.10045E-11,-3.21205E-11,-1.30852E-12,-1.30852E-12
-2.78,-1.57488E-10,-1.93127E-10,-2.50721E-10,-1.31339E-11,-1.63073E-10,-7.07486E-11,-3.19467E-11,-1.06209E-12,-1.06209E-12
-2.77,-1.57323E-10,-1.92883E-10,-2.51294E-10,-1.34542E-11,-1.63295E-10,-7.04152E-11,-3.18557E-11,-8.31016E-13,-8.31016E-13
-2.76,-1.56486E-10,-1.92217E-10,-2.51921E-10,-1.36374E-11,-1.62941E-10,-7.02744E-11,-3.21252E-11,-7.50783E-13,-7.50783E-13
-2.75,-1.56214E-10,-1.9182E-10,-2.51714E-10,-1.38371E-11,-1.62885E-10,-7.09208E-11,-3.20438E-11,-7.09234E-13,-7.09234E-13
-2.74,-1.5702E-10,-1.92572E-10,-2.50398E-10,-1.35369E-11,-1.63331E-10,-7.06739E-11,-3.19805E-11,-7.18854E-13,-7.18854E-13
-2.73,-1.55945E-10,-1.92361E-10,-2.50316E-10,-1.32419E-11,-1.63804E-10,-7.05753E-11,-3.16485E-11,-8.53734E-13,-8.53734E-13
