X (Second),CH1 (Volt),CH2 (Volt),
-5.11357e+00,-2.32e+00,-1.84e+00,
-5.11355e+00,-2.32e+00,-1.76e+00,
-5.11353e+00,-2.32e+00,-1.76e+00,
-5.11352e+00,-2.32e+00,-1.84e+00,
-5.11350e+00,-2.32e+00,-1.76e+00,
-5.11348e+00,-2.32e+00,-1.84e+00,
-5.11346e+00,-2.32e+00,-1.76e+00,
-5.11344e+00,-2.32e+00,-1.76e+00,
-5.11342e+00,-2.32e+00,-1.84e+00,
-5.11340e+00,-2.32e+00,-1.84e+00,
-5.11338e+00,-2.32e+00,-1.84e+00,
-5.11336e+00,-2.32e+00,-1.84e+00,
-5.11334e+00,-2.32e+00,-1.84e+00,
-5.11332e+00,-2.32e+00,-1.84e+00,
-5.11330e+00,-2.32e+00,-1.76e+00,
-5.11328e+00,-2.32e+00,-1.84e+00,
-5.11326e+00,-2.32e+00,-1.84e+00,
-5.11324e+00,-2.32e+00,-1.84e+00,
-5.11322e+00,-2.32e+00,-1.84e+00,
-5.11320e+00,-2.32e+00,-1.76e+00,
-5.11318e+00,-2.32e+00,-1.76e+00,
-5.11316e+00,-2.32e+00,-1.76e+00,
-5.11314e+00,-2.32e+00,-1.76e+00,
-5.11312e+00,-2.32e+00,-1.76e+00,
-5.11311e+00,-2.32e+00,-1.76e+00,
-5.11309e+00,-2.32e+00,-1.76e+00,
-5.11307e+00,-2.32e+00,-1.84e+00,
-5.11305e+00,-2.32e+00,-1.84e+00,
-5.11303e+00,-2.32e+00,-1.76e+00,
-5.11301e+00,-2.32e+00,-1.84e+00,
-5.11299e+00,-2.32e+00,-1.84e+00,
-5.11297e+00,-2.32e+00,-1.84e+00,
-5.11295e+00,-2.32e+00,-1.76e+00,
-5.11293e+00,-2.32e+00,-1.76e+00,
-5.11291e+00,-2.32e+00,-1.76e+00,
-5.11289e+00,-2.32e+00,-1.76e+00,
-5.11287e+00,-2.32e+00,-1.84e+00,
-5.11285e+00,-2.32e+00,-1.84e+00,
-5.11283e+00,-2.40e+00,-1.84e+00,
-5.11281e+00,-2.32e+00,-1.76e+00,
-5.11279e+00,-2.32e+00,-1.76e+00,
-5.11277e+00,-2.32e+00,-1.76e+00,
-5.11275e+00,-2.32e+00,-1.76e+00,
-5.11273e+00,-2.32e+00,-1.76e+00,
-5.11271e+00,-2.32e+00,-1.76e+00,
-5.11270e+00,-2.32e+00,-1.76e+00,
-5.11268e+00,-2.32e+00,-1.76e+00,
-5.11266e+00,-2.32e+00,-1.76e+00,
-5.11264e+00,-2.40e+00,-1.84e+00,
-5.11262e+00,-2.32e+00,-1.76e+00,
-5.11260e+00,-2.32e+00,-1.76e+00,
-5.11258e+00,-2.32e+00,-1.76e+00,
-5.11256e+00,-2.32e+00,-1.84e+00,
-5.11254e+00,-2.32e+00,-1.84e+00,
-5.11252e+00,-2.40e+00,-1.84e+00,
-5.11250e+00,-2.32e+00,-1.76e+00,
-5.11248e+00,-2.32e+00,-1.76e+00,
-5.11246e+00,-2.32e+00,-1.84e+00,
-5.11244e+00,-2.32e+00,-1.76e+00,
-5.11242e+00,-2.40e+00,-1.76e+00,
-5.11240e+00,-2.32e+00,-1.84e+00,
-5.11238e+00,-2.32e+00,-1.84e+00,
-5.11236e+00,-2.32e+00,-1.76e+00,
-5.11234e+00,-2.32e+00,-1.76e+00,
-5.11232e+00,-2.32e+00,-1.84e+00,
-5.11230e+00,-2.32e+00,-1.76e+00,
-5.11229e+00,-2.32e+00,-1.84e+00,
-5.11227e+00,-2.32e+00,-1.84e+00,
-5.11225e+00,-2.32e+00,-1.76e+00,
-5.11223e+00,-2.40e+00,-1.76e+00,
-5.11221e+00,-2.40e+00,-1.84e+00,
-5.11219e+00,-2.32e+00,-1.76e+00,
-5.11217e+00,-2.32e+00,-1.84e+00,
-5.11215e+00,-2.32e+00,-1.76e+00,
-5.11213e+00,-2.32e+00,-1.84e+00,
-5.11211e+00,-2.32e+00,-1.76e+00,
-5.11209e+00,-2.32e+00,-1.76e+00,
-5.11207e+00,-2.32e+00,-1.84e+00,
-5.11205e+00,-2.32e+00,-1.76e+00,
-5.11203e+00,-2.32e+00,-1.84e+00,
-5.11201e+00,-2.32e+00,-1.76e+00,
-5.11199e+00,-2.32e+00,-1.76e+00,
-5.11197e+00,-2.32e+00,-1.76e+00,
-5.11195e+00,-2.32e+00,-1.76e+00,
-5.11193e+00,-2.32e+00,-1.84e+00,
-5.11191e+00,-2.32e+00,-1.76e+00,
-5.11189e+00,-2.32e+00,-1.76e+00,
-5.11188e+00,-2.32e+00,-1.84e+00,
-5.11186e+00,-2.32e+00,-1.76e+00,
-5.11184e+00,-2.32e+00,-1.76e+00,
-5.11182e+00,-2.40e+00,-1.76e+00,
-5.11180e+00,-2.32e+00,-1.84e+00,
-5.11178e+00,-2.32e+00,-1.76e+00,
-5.11176e+00,-2.32e+00,-1.76e+00,
-5.11174e+00,-2.32e+00,-1.84e+00,
-5.11172e+00,-2.32e+00,-1.76e+00,
-5.11170e+00,-2.32e+00,-1.84e+00,
-5.11168e+00,-2.32e+00,-1.76e+00,
-5.11166e+00,-2.32e+00,-1.76e+00,
-5.11164e+00,-2.32e+00,-1.84e+00,
-5.11162e+00,-2.32e+00,-1.76e+00,
-5.11160e+00,-2.32e+00,-1.76e+00,
-5.11158e+00,-2.32e+00,-1.76e+00,
-5.11156e+00,-2.32e+00,-1.84e+00,
-5.11154e+00,-2.32e+00,-1.76e+00,
-5.11152e+00,-2.32e+00,-1.84e+00,
-5.11150e+00,-2.32e+00,-1.76e+00,
-5.11148e+00,-2.32e+00,-1.76e+00,
-5.11146e+00,-2.32e+00,-1.76e+00,
-5.11145e+00,-2.32e+00,-1.76e+00,
-5.11143e+00,-2.32e+00,-1.84e+00,
-5.11141e+00,-2.40e+00,-1.76e+00,
-5.11139e+00,-2.32e+00,-1.84e+00,
-5.11137e+00,-2.32e+00,-1.76e+00,
-5.11135e+00,-2.32e+00,-1.76e+00,
-5.11133e+00,-2.32e+00,-1.76e+00,
-5.11131e+00,-2.40e+00,-1.76e+00,
-5.11129e+00,-2.32e+00,-1.76e+00,
-5.11127e+00,-2.32e+00,-1.84e+00,
-5.11125e+00,-2.32e+00,-1.76e+00,
-5.11123e+00,-2.32e+00,-1.76e+00,
-5.11121e+00,-2.32e+00,-1.84e+00,
-5.11119e+00,-2.32e+00,-1.76e+00,
-5.11117e+00,-2.32e+00,-1.76e+00,
-5.11115e+00,-2.32e+00,-1.76e+00,
-5.11113e+00,-2.32e+00,-1.76e+00,
-5.11111e+00,-2.40e+00,-1.84e+00,
-5.11109e+00,-2.40e+00,-1.76e+00,
-5.11107e+00,-2.32e+00,-1.76e+00,
-5.11105e+00,-2.32e+00,-1.84e+00,
-5.11103e+00,-2.32e+00,-1.76e+00,
-5.11102e+00,-2.32e+00,-1.76e+00,
-5.11100e+00,-2.32e+00,-1.76e+00,
-5.11098e+00,-2.32e+00,-1.76e+00,
-5.11096e+00,-2.32e+00,-1.84e+00,
-5.11094e+00,-2.32e+00,-1.76e+00,
-5.11092e+00,-2.32e+00,-1.76e+00,
-5.11090e+00,-2.32e+00,-1.76e+00,
-5.11088e+00,-2.32e+00,-1.76e+00,
-5.11086e+00,-2.32e+00,-1.76e+00,
-5.11084e+00,-2.32e+00,-1.84e+00,
-5.11082e+00,-2.32e+00,-1.76e+00,
-5.11080e+00,-2.32e+00,-1.76e+00,
-5.11078e+00,-2.32e+00,-1.84e+00,
-5.11076e+00,-2.32e+00,-1.76e+00,
-5.11074e+00,-2.40e+00,-1.76e+00,
-5.11072e+00,-2.32e+00,-1.76e+00,
-5.11070e+00,-2.40e+00,-1.76e+00,
-5.11068e+00,-2.32e+00,-1.84e+00,
