#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2019-03-22, 13:21:38
# Real time (s): 666.250
# Live time (s): 666.000
#
# Total counts:  40601
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  2186
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
442	877.518	15	0.0225225
443	879.560	12	0.018018
444	881.602	11	0.0165165
445	883.644	13	0.0195195
446	885.686	17	0.0255255
447	887.728	7	0.0105105
448	889.771	19	0.0285285
449	891.813	14	0.021021
450	893.855	10	0.015015
451	895.897	6	0.00900901
452	897.939	13	0.0195195
453	899.981	4	0.00600601
454	902.024	6	0.00900901
455	904.066	13	0.0195195
456	906.108	12	0.018018
457	908.150	8	0.012012
458	910.192	14	0.021021
459	912.235	9	0.0135135
460	914.277	16	0.024024
461	916.319	10	0.015015
462	918.361	18	0.027027
463	920.403	9	0.0135135
464	922.445	8	0.012012
465	924.488	7	0.0105105
466	926.530	11	0.0165165
467	928.572	15	0.0225225
468	930.614	10	0.015015
469	932.656	11	0.0165165
470	934.698	14	0.021021
471	936.741	13	0.0195195
472	938.783	6	0.00900901
473	940.825	14	0.021021
474	942.867	14	0.021021
475	944.909	12	0.018018
476	946.951	12	0.018018
477	948.994	16	0.024024
478	951.036	10	0.015015
479	953.078	8	0.012012
480	955.120	8	0.012012
481	957.162	7	0.0105105
482	959.204	2	0.003003
483	961.247	13	0.0195195
484	963.289	8	0.012012
485	965.331	17	0.0255255
486	967.373	9	0.0135135
487	969.415	11	0.0165165
488	971.457	16	0.024024
489	973.500	14	0.021021
490	975.542	12	0.018018
491	977.584	17	0.0255255
492	979.626	18	0.027027
493	981.668	18	0.027027
494	983.710	12	0.018018
495	985.753	24	0.036036
496	987.795	23	0.0345345
497	989.837	25	0.0375375
498	991.879	28	0.042042
499	993.921	36	0.0540541
500	995.963	29	0.0435435
501	998.006	41	0.0615616
502	1000.048	40	0.0600601
503	1002.090	63	0.0945946
504	1004.132	63	0.0945946
505	1006.174	70	0.105105
506	1008.216	78	0.117117
507	1010.259	66	0.0990991
508	1012.301	81	0.121622
509	1014.343	97	0.145646
510	1016.385	120	0.18018
511	1018.427	126	0.189189
512	1020.469	121	0.181682
513	1022.512	144	0.216216
514	1024.554	161	0.241742
515	1026.596	161	0.241742
516	1028.638	184	0.276276
517	1030.680	186	0.279279
518	1032.722	214	0.321321
519	1034.765	241	0.361862
520	1036.807	217	0.325826
521	1038.849	265	0.397898
522	1040.891	262	0.393393
523	1042.933	289	0.433934
524	1044.975	271	0.406907
525	1047.018	272	0.408408
526	1049.060	307	0.460961
527	1051.102	291	0.436937
528	1053.144	298	0.447447
529	1055.186	282	0.423423
530	1057.228	313	0.46997
531	1059.271	315	0.472973
532	1061.313	314	0.471471
533	1063.355	294	0.441441
534	1065.397	269	0.403904
535	1067.439	310	0.465465
536	1069.481	306	0.459459
537	1071.524	244	0.366366
538	1073.566	255	0.382883
539	1075.608	268	0.402402
540	1077.650	258	0.387387
541	1079.692	230	0.345345
542	1081.734	233	0.34985
543	1083.777	196	0.294294
544	1085.819	182	0.273273
545	1087.861	147	0.220721
546	1089.903	161	0.241742
547	1091.945	155	0.232733
548	1093.987	138	0.207207
549	1096.030	125	0.187688
550	1098.072	108	0.162162
551	1100.114	89	0.133634
552	1102.156	76	0.114114
553	1104.198	56	0.0840841
554	1106.240	55	0.0825826
555	1108.283	61	0.0915916
556	1110.325	56	0.0840841
557	1112.367	39	0.0585586
558	1114.409	36	0.0540541
559	1116.451	32	0.048048
560	1118.493	31	0.0465465
561	1120.536	34	0.0510511
562	1122.578	17	0.0255255
563	1124.620	17	0.0255255
564	1126.662	18	0.027027
565	1128.704	18	0.027027
566	1130.746	6	0.00900901
567	1132.789	6	0.00900901
568	1134.831	12	0.018018
569	1136.873	3	0.0045045
570	1138.915	8	0.012012
571	1140.957	4	0.00600601
572	1142.999	8	0.012012
