#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2019-03-22, 13:48:02
# Real time (s): 300.129
# Live time (s): 300.000
#
# Total counts:  30417
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  155
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
467	928.572	1	0.00333333
468	930.614	0	0
469	932.656	3	0.01
470	934.698	1	0.00333333
471	936.741	2	0.00666667
472	938.783	5	0.0166667
473	940.825	2	0.00666667
474	942.867	2	0.00666667
475	944.909	3	0.01
476	946.951	1	0.00333333
477	948.994	2	0.00666667
478	951.036	0	0
479	953.078	4	0.0133333
480	955.120	1	0.00333333
481	957.162	3	0.01
482	959.204	0	0
483	961.247	3	0.01
484	963.289	1	0.00333333
485	965.331	2	0.00666667
486	967.373	1	0.00333333
487	969.415	1	0.00333333
488	971.457	1	0.00333333
489	973.500	3	0.01
490	975.542	2	0.00666667
491	977.584	2	0.00666667
492	979.626	1	0.00333333
493	981.668	3	0.01
494	983.710	0	0
495	985.753	3	0.01
496	987.795	1	0.00333333
497	989.837	3	0.01
498	991.879	4	0.0133333
499	993.921	3	0.01
500	995.963	6	0.02
501	998.006	1	0.00333333
502	1000.048	2	0.00666667
503	1002.090	2	0.00666667
504	1004.132	2	0.00666667
505	1006.174	1	0.00333333
506	1008.216	2	0.00666667
507	1010.259	2	0.00666667
508	1012.301	4	0.0133333
509	1014.343	1	0.00333333
510	1016.385	1	0.00333333
511	1018.427	3	0.01
512	1020.469	2	0.00666667
513	1022.512	2	0.00666667
514	1024.554	1	0.00333333
515	1026.596	2	0.00666667
516	1028.638	0	0
517	1030.680	3	0.01
518	1032.722	3	0.01
519	1034.765	2	0.00666667
520	1036.807	1	0.00333333
521	1038.849	1	0.00333333
522	1040.891	2	0.00666667
523	1042.933	1	0.00333333
524	1044.975	0	0
525	1047.018	1	0.00333333
526	1049.060	1	0.00333333
527	1051.102	2	0.00666667
528	1053.144	3	0.01
529	1055.186	4	0.0133333
530	1057.228	2	0.00666667
531	1059.271	0	0
532	1061.313	2	0.00666667
533	1063.355	3	0.01
534	1065.397	1	0.00333333
535	1067.439	0	0
536	1069.481	2	0.00666667
537	1071.524	3	0.01
538	1073.566	0	0
539	1075.608	2	0.00666667
540	1077.650	1	0.00333333
541	1079.692	3	0.01
542	1081.734	1	0.00333333
543	1083.777	2	0.00666667
544	1085.819	2	0.00666667
545	1087.861	2	0.00666667
546	1089.903	1	0.00333333
547	1091.945	2	0.00666667
548	1093.987	2	0.00666667
549	1096.030	1	0.00333333
550	1098.072	2	0.00666667
551	1100.114	2	0.00666667
552	1102.156	3	0.01
553	1104.198	1	0.00333333
554	1106.240	1	0.00333333
555	1108.283	4	0.0133333
556	1110.325	1	0.00333333
557	1112.367	3	0.01
558	1114.409	1	0.00333333
559	1116.451	3	0.01
560	1118.493	1	0.00333333
561	1120.536	4	0.0133333
562	1122.578	1	0.00333333
563	1124.620	3	0.01
564	1126.662	4	0.0133333
565	1128.704	2	0.00666667
566	1130.746	5	0.0166667
567	1132.789	3	0.01
568	1134.831	0	0
569	1136.873	1	0.00333333
570	1138.915	0	0
571	1140.957	2	0.00666667
572	1142.999	1	0.00333333
573	1145.042	2	0.00666667
574	1147.084	2	0.00666667
575	1149.126	4	0.0133333
576	1151.168	3	0.01
577	1153.210	2	0.00666667
578	1155.252	0	0
579	1157.295	0	0
580	1159.337	0	0
581	1161.379	2	0.00666667
582	1163.421	4	0.0133333
583	1165.463	1	0.00333333
584	1167.505	2	0.00666667
585	1169.548	4	0.0133333
586	1171.590	2	0.00666667
587	1173.632	1	0.00333333
588	1175.674	2	0.00666667
589	1177.716	2	0.00666667
590	1179.758	2	0.00666667
591	1181.801	4	0.0133333
592	1183.843	5	0.0166667
593	1185.885	2	0.00666667
594	1187.927	1	0.00333333
595	1189.969	4	0.0133333
596	1192.011	1	0.00333333
597	1194.054	1	0.00333333
598	1196.096	4	0.0133333
599	1198.138	0	0
600	1200.180	0	0
601	1202.222	2	0.00666667
602	1204.264	2	0.00666667
603	1206.307	0	0
604	1208.349	1	0.00333333
605	1210.391	1	0.00333333
606	1212.433	1	0.00333333
607	1214.475	4	0.0133333
608	1216.517	1	0.00333333
609	1218.560	2	0.00666667
610	1220.602	3	0.01
611	1222.644	1	0.00333333
612	1224.686	0	0
613	1226.728	2	0.00666667
614	1228.770	1	0.00333333
615	1230.813	3	0.01
616	1232.855	2	0.00666667
617	1234.897	1	0.00333333
618	1236.939	1	0.00333333
619	1238.981	2	0.00666667
620	1241.023	2	0.00666667
621	1243.066	2	0.00666667
622	1245.108	1	0.00333333
623	1247.150	3	0.01
624	1249.192	1	0.00333333
625	1251.234	5	0.0166667
626	1253.276	1	0.00333333
627	1255.319	0	0
628	1257.361	4	0.0133333
629	1259.403	0	0
630	1261.445	0	0
631	1263.487	2	0.00666667
632	1265.529	0	0
633	1267.572	0	0
634	1269.614	2	0.00666667
635	1271.656	3	0.01
636	1273.698	2	0.00666667
637	1275.740	0	0
638	1277.782	2	0.00666667
639	1279.825	1	0.00333333
640	1281.867	3	0.01
641	1283.909	1	0.00333333
642	1285.951	1	0.00333333
643	1287.993	2	0.00666667
644	1290.035	0	0
645	1292.078	0	0
646	1294.120	1	0.00333333
647	1296.162	0	0
648	1298.204	2	0.00666667
649	1300.246	0	0
650	1302.288	1	0.00333333
651	1304.331	0	0
652	1306.373	1	0.00333333
653	1308.415	1	0.00333333
654	1310.457	1	0.00333333
655	1312.499	1	0.00333333
656	1314.541	0	0
657	1316.584	1	0.00333333
658	1318.626	3	0.01
659	1320.668	1	0.00333333
660	1322.710	2	0.00666667
661	1324.752	1	0.00333333
662	1326.794	2	0.00666667
663	1328.837	0	0
664	1330.879	1	0.00333333
665	1332.921	1	0.00333333
666	1334.963	2	0.00666667
667	1337.005	2	0.00666667
668	1339.047	0	0
669	1341.090	2	0.00666667
670	1343.132	2	0.00666667
671	1345.174	2	0.00666667
672	1347.216	1	0.00333333
673	1349.258	0	0
674	1351.300	3	0.01
675	1353.343	0	0
676	1355.385	2	0.00666667
677	1357.427	1	0.00333333
678	1359.469	0	0
679	1361.511	0	0
680	1363.554	0	0
681	1365.596	0	0
682	1367.638	3	0.01
683	1369.680	3	0.01
684	1371.722	0	0
685	1373.764	2	0.00666667
686	1375.807	1	0.00333333
687	1377.849	0	0
688	1379.891	0	0
689	1381.933	0	0
690	1383.975	2	0.00666667
691	1386.017	3	0.01
692	1388.060	1	0.00333333
693	1390.102	2	0.00666667
694	1392.144	1	0.00333333
695	1394.186	1	0.00333333
696	1396.228	1	0.00333333
697	1398.270	1	0.00333333
698	1400.313	2	0.00666667
699	1402.355	2	0.00666667
700	1404.397	0	0
701	1406.439	1	0.00333333
702	1408.481	0	0
703	1410.523	1	0.00333333
704	1412.566	1	0.00333333
705	1414.608	1	0.00333333
706	1416.650	3	0.01
707	1418.692	1	0.00333333
708	1420.734	1	0.00333333
709	1422.776	1	0.00333333
710	1424.819	2	0.00666667
711	1426.861	0	0
712	1428.903	2	0.00666667
713	1430.945	1	0.00333333
714	1432.987	0	0
715	1435.029	1	0.00333333
716	1437.072	1	0.00333333
717	1439.114	0	0
718	1441.156	1	0.00333333
719	1443.198	1	0.00333333
720	1445.240	0	0
721	1447.282	1	0.00333333
722	1449.325	3	0.01
723	1451.367	2	0.00666667
724	1453.409	2	0.00666667
725	1455.451	4	0.0133333
726	1457.493	2	0.00666667
727	1459.535	3	0.01
728	1461.578	1	0.00333333
729	1463.620	0	0
730	1465.662	0	0
731	1467.704	3	0.01
732	1469.746	0	0
733	1471.788	1	0.00333333
734	1473.831	1	0.00333333
735	1475.873	0	0
736	1477.915	4	0.0133333
737	1479.957	3	0.01
738	1481.999	3	0.01
