#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2019-03-22, 13:40:17
# Real time (s): 307.960
# Live time (s): 300.000
#
# Total counts:  1222569
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  45919
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
300	587.530	1210	4.03333
301	589.572	1235	4.11667
302	591.614	1171	3.90333
303	593.656	1182	3.94
304	595.699	1208	4.02667
305	597.741	1167	3.89
306	599.783	1172	3.90667
307	601.825	1185	3.95
308	603.867	1190	3.96667
309	605.909	1142	3.80667
310	607.952	1223	4.07667
311	609.994	1175	3.91667
312	612.036	1216	4.05333
313	614.078	1185	3.95
314	616.120	1165	3.88333
315	618.162	1213	4.04333
316	620.205	1189	3.96333
317	622.247	1172	3.90667
318	624.289	1178	3.92667
319	626.331	1189	3.96333
320	628.373	1262	4.20667
321	630.415	1155	3.85
322	632.458	1189	3.96333
323	634.500	1201	4.00333
324	636.542	1177	3.92333
325	638.584	1240	4.13333
326	640.626	1162	3.87333
327	642.668	1153	3.84333
328	644.711	1156	3.85333
329	646.753	1241	4.13667
330	648.795	1234	4.11333
331	650.837	1222	4.07333
332	652.879	1147	3.82333
333	654.921	1209	4.03
334	656.964	1151	3.83667
335	659.006	1178	3.92667
336	661.048	1187	3.95667
337	663.090	1265	4.21667
338	665.132	1168	3.89333
339	667.174	1204	4.01333
340	669.217	1177	3.92333
341	671.259	1112	3.70667
342	673.301	1260	4.2
343	675.343	1198	3.99333
344	677.385	1164	3.88
345	679.427	1176	3.92
346	681.470	1177	3.92333
347	683.512	1164	3.88
348	685.554	1136	3.78667
349	687.596	1173	3.91
350	689.638	1119	3.73
351	691.680	1152	3.84
352	693.723	1195	3.98333
353	695.765	1165	3.88333
354	697.807	1207	4.02333
355	699.849	1188	3.96
356	701.891	1200	4
357	703.933	1133	3.77667
358	705.976	1226	4.08667
359	708.018	1176	3.92
360	710.060	1207	4.02333
361	712.102	1137	3.79
362	714.144	1195	3.98333
363	716.186	1073	3.57667
364	718.229	1137	3.79
365	720.271	1121	3.73667
366	722.313	1174	3.91333
367	724.355	1165	3.88333
368	726.397	1231	4.10333
369	728.439	1152	3.84
370	730.482	1221	4.07
371	732.524	1107	3.69
372	734.566	1164	3.88
373	736.608	1120	3.73333
374	738.650	1174	3.91333
375	740.692	1171	3.90333
376	742.735	1177	3.92333
377	744.777	1205	4.01667
378	746.819	1110	3.7
379	748.861	1148	3.82667
380	750.903	1110	3.7
381	752.945	1184	3.94667
382	754.988	1152	3.84
383	757.030	1176	3.92
384	759.072	1172	3.90667
385	761.114	1194	3.98
386	763.156	1176	3.92
387	765.198	1208	4.02667
388	767.241	1181	3.93667
389	769.283	1169	3.89667
390	771.325	1209	4.03
391	773.367	1200	4
392	775.409	1181	3.93667
393	777.451	1174	3.91333
394	779.494	1162	3.87333
395	781.536	1176	3.92
396	783.578	1225	4.08333
397	785.620	1234	4.11333
398	787.662	1143	3.81
399	789.704	1231	4.10333
400	791.747	1167	3.89
401	793.789	1222	4.07333
402	795.831	1170	3.9
403	797.873	1234	4.11333
404	799.915	1165	3.88333
405	801.957	1177	3.92333
406	804.000	1175	3.91667
407	806.042	1213	4.04333
408	808.084	1218	4.06
409	810.126	1220	4.06667
410	812.168	1187	3.95667
411	814.210	1226	4.08667
412	816.253	1187	3.95667
413	818.295	1186	3.95333
414	820.337	1209	4.03
415	822.379	1231	4.10333
416	824.421	1209	4.03
417	826.463	1199	3.99667
418	828.506	1250	4.16667
419	830.548	1224	4.08
420	832.590	1273	4.24333
421	834.632	1187	3.95667
422	836.674	1224	4.08
423	838.716	1236	4.12
424	840.759	1214	4.04667
425	842.801	1190	3.96667
426	844.843	1234	4.11333
427	846.885	1196	3.98667
428	848.927	1178	3.92667
429	850.969	1228	4.09333
430	853.012	1217	4.05667
431	855.054	1250	4.16667
432	857.096	1159	3.86333
433	859.138	1250	4.16667
434	861.180	1183	3.94333
435	863.222	1244	4.14667
436	865.265	1189	3.96333
437	867.307	1184	3.94667
438	869.349	1230	4.1
439	871.391	1276	4.25333
440	873.433	1245	4.15
441	875.475	1316	4.38667
442	877.518	1204	4.01333
443	879.560	1254	4.18
444	881.602	1265	4.21667
445	883.644	1262	4.20667
446	885.686	1259	4.19667
447	887.728	1205	4.01667
448	889.771	1268	4.22667
449	891.813	1264	4.21333
450	893.855	1223	4.07667
451	895.897	1173	3.91
452	897.939	1346	4.48667
453	899.981	1175	3.91667
454	902.024	1283	4.27667
455	904.066	1238	4.12667
456	906.108	1243	4.14333
457	908.150	1297	4.32333
458	910.192	1306	4.35333
459	912.235	1200	4
460	914.277	1300	4.33333
461	916.319	1233	4.11
462	918.361	1251	4.17
463	920.403	1233	4.11
464	922.445	1219	4.06333
465	924.488	1288	4.29333
466	926.530	1307	4.35667
467	928.572	1301	4.33667
468	930.614	1256	4.18667
469	932.656	1288	4.29333
470	934.698	1299	4.33
471	936.741	1243	4.14333
472	938.783	1256	4.18667
473	940.825	1278	4.26
474	942.867	1268	4.22667
475	944.909	1256	4.18667
476	946.951	1204	4.01333
477	948.994	1309	4.36333
478	951.036	1280	4.26667
479	953.078	1258	4.19333
480	955.120	1271	4.23667
481	957.162	1346	4.48667
482	959.204	1260	4.2
483	961.247	1316	4.38667
484	963.289	1304	4.34667
485	965.331	1244	4.14667
486	967.373	1314	4.38
487	969.415	1302	4.34
488	971.457	1270	4.23333
489	973.500	1287	4.29
490	975.542	1288	4.29333
491	977.584	1317	4.39
492	979.626	1323	4.41
493	981.668	1354	4.51333
494	983.710	1330	4.43333
495	985.753	1299	4.33
496	987.795	1347	4.49
497	989.837	1404	4.68
498	991.879	1337	4.45667
499	993.921	1376	4.58667
500	995.963	1379	4.59667
501	998.006	1317	4.39
502	1000.048	1314	4.38
503	1002.090	1300	4.33333
504	1004.132	1322	4.40667
505	1006.174	1382	4.60667
506	1008.216	1392	4.64
507	1010.259	1357	4.52333
508	1012.301	1380	4.6
509	1014.343	1315	4.38333
510	1016.385	1422	4.74
511	1018.427	1419	4.73
512	1020.469	1374	4.58
513	1022.512	1420	4.73333
514	1024.554	1393	4.64333
515	1026.596	1393	4.64333
516	1028.638	1387	4.62333
517	1030.680	1438	4.79333
518	1032.722	1406	4.68667
519	1034.765	1446	4.82
520	1036.807	1362	4.54
521	1038.849	1376	4.58667
522	1040.891	1391	4.63667
523	1042.933	1426	4.75333
524	1044.975	1404	4.68
525	1047.018	1406	4.68667
526	1049.060	1445	4.81667
527	1051.102	1465	4.88333
528	1053.144	1475	4.91667
529	1055.186	1467	4.89
530	1057.228	1435	4.78333
531	1059.271	1466	4.88667
